CITY,HnT,TRAIN,FATALITY,INJURY,PEDESTRIAN,INTERSECTION,Total
"BATON ROUGE",23.9362,0.0007,0.0018,0.0747,0.0053,0.3682,13866
UNKNOWN,21.5054,0.0000,0.0000,0.1237,0.0054,0.4946,186
"DENHAM SPRINGS",25.0000,0.0000,0.0000,0.2500,0.0833,0.1667,12
"PORT ALLEN",40.0000,0.0000,0.0000,0.1333,0.0000,0.1333,15
BAKER,20.0000,0.0000,0.0000,0.0000,0.0000,0.6000,5
ZACHARY,33.3333,0.0000,0.0000,0.0000,0.0000,0.5000,6
PRAIRIEVILLE,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,2
"GREENWELL SPRINGS",0.0000,0.0000,0.0000,0.3333,0.0000,0.3333,3
"DAMXUNG COUNTY",18.1818,0.0000,0.0000,0.0909,0.0000,0.2727,11
"LHVNZHUB COUNTY",50.0000,0.0000,0.0000,0.5000,0.0000,1.0000,2
CLINTON,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
TOTAL_INCIDENTS,0.2391,0.0007,0.0018,0.0757,0.0053,0.3694,14113
